comb,detect_faces_acc,latency,target_acc,target_precision,target_recall
"1.2,haar,(100, 100),cheap",0.9970186205667023,0.6704112086296081,0.8220000000000047,0.4396615158204565,0.9870550161812298
"1.2,haar,(100, 100),expensive",0.9970186205667023,0.7235172801017761,0.9920000000000003,1.0,0.9385113268608414
"1.2,haar,(100, 100),middle",0.9970186205667023,0.6697399969100952,0.8372000000000043,0.47058823529411775,0.9838187702265372
"1.2,haar,(120, 120),expensive",0.9970186205667023,0.7284394879341125,0.9912000000000003,0.951781970649895,1.0
"1.2,lbp,(100, 100),cheap",0.9775341481289089,0.5803615355491638,0.8444000000000046,0.46559970566593095,0.9935275080906149
"1.2,lbp,(100, 100),expensive",0.9775341481289089,0.6355093393325806,0.9952000000000002,1.0,0.9627831715210357
"1.2,lbp,(100, 100),middle",0.9775341481289089,0.5800444116592407,0.8588000000000041,0.4960496613995486,0.9935275080906149
"1.2,lbp,(120, 120),expensive",0.9775341481289089,0.6400922040939331,0.9904000000000002,0.954352441613588,0.9935275080906149
"1.33,haar,(100, 100),cheap",0.990051360725543,0.6093516573905945,0.8292000000000046,0.4471188913202044,0.9870550161812298
"1.33,haar,(100, 100),expensive",0.990051360725543,0.6679501852989197,0.9984,1.0,0.9870550161812298
"1.33,haar,(100, 100),middle",0.990051360725543,0.6104602603912354,0.8556000000000039,0.5013318112633184,0.9935275080906149
"1.33,haar,(120, 120),expensive",0.990051360725543,0.6703935065269471,0.9896000000000003,0.9399585921325051,1.0
"1.33,lbp,(100, 100),cheap",0.9540195764171375,0.5536941266059876,0.8252000000000048,0.4195011337868482,0.8387270765911541
"1.33,lbp,(100, 100),expensive",0.9540195764171375,0.6070764055252075,0.9764000000000012,1.0,0.8419633225458467
"1.33,lbp,(100, 100),middle",0.9540195764171375,0.5528152432441712,0.8440000000000043,0.46877486077963415,0.8451995685005392
"1.33,lbp,(120, 120),expensive",0.9540195764171375,0.6112880487442016,0.9672000000000013,0.9318181818181818,0.8484358144552319
